"","Gene.Description","Gene.Accession.Number","index"
"6781","Exon 1b; used only in type 2 transcripts from  H.sapiens dbi/acbp gene exon 1 & 2./ntype=DNA /annot=exon","X94563_xpt2_r_at",6781
"6782","PDE4C Phosphodiesterase 4C; cAMP-specific (dunce (Drosophila)-homolog phosphodiesterase E1)","Z46632_at",6782
"6783","PDE4C Phosphodiesterase 4C; cAMP-specific (dunce (Drosophila)-homolog phosphodiesterase E1)","Z46632_r_at",6783
"6784","GB DEF = DNA mismatch repair protein (hMLH1) mRNA; alternatively spliced; partial cds","AF001359_f_at",6784
"6785","Atpase; Na+/K+ Transporting; Alpha 1 Polypeptide","HG1034-HT1034_f_at",6785
"6786","Mucin 3; Intestinal (Gb:M55406)","HG2148-HT2218_f_at",6786
"6787","Nadh-Ubiquinone Oxidoreductase; 39 Kda Subunit","HG3141-HT3317_f_at",6787
"6788","Neurofibromatosis 2 Tumor Suppressor (Gb:L27065)","HG3236-HT3413_f_at",6788
"6789","Major Histocompatibility Complex; Class Ii Beta W52","HG3576-HT3779_f_at",6789
"6790","Major Histocompatibility Complex; Class I (Gb:X12432)","HG3597-HT3800_f_at",6790
"6791","Zinc Finger Protein; Kruppel-Like","HG3635-HT3845_f_at",6791
"6792","Homeotic Protein Hpx-5","HG3729-HT3999_f_at",6792
"6793","Homeotic Protein C6; Class I","HG3921-HT4191_f_at",6793
"6794","Homeotic Protein Hpx-2","HG4417-HT4687_f_at",6794
"6795","Major Histocompatibility Complex; Class Ii; Dr Beta 2 (Gb:X65561)","HG688-HT688_f_at",6795
"6796","GYPB Glycophorin B","J02982_f_at",6796
"6797","LYZ Lysozyme","J03801_f_at",6797
"6798","GB DEF = Histatin 3 (HIS2) gene exons 3-5","L05514_f_at",6798
"6799","GB DEF = OCP2 gene; partial cds","L49173_f_at",6799
"6800","GB DEF = Retinoblastoma susceptibility protein (RB1) L486W 4 bp deletion mutant (resulting in premature stop at amino acid 490) gene; exon 16 (L11910 bases 76983-77136)","L49219_f_at",6800
"6801","GB DEF = Retinoblastoma susceptibility protein (RB1) gene; with a 3 bp deletion in exon 22 (L11910 bases 161855-162161)","L49229_f_at",6801
"6802","P58 natural killer cell receptor precursor mRNA; clone cl-39","L76670_f_at",6802
"6803","LYZ Lysozyme","M19045_f_at",6803
"6804","PSG11 Pregnancy-specific beta-1 glycoprotein 11","M23575_f_at",6804
"6805","GB DEF = Alpha CREB-1=cyclic AMP response element-binding protein-1 alpha isoform {alternatively spliced; internal fragment} [human; placenta; mRNA Partial; 64 nt]","S78693_f_at",6805
"6806","Lysozyme gene (EC 3.2.1.17)","X14008_rna1_f_at",6806
"6807","ZNF43 Zinc finger protein 43 (HTF6)","X59244_f_at",6807
"6808","GB DEF = NK receptor; clone library 4M1#6","X97230_f_at",6808
"6809","GB DEF = Cytochrome P-450c11; exon 3-9","D16154_at",6809
"6810","DDH1 Dihydrodiol dehydrogenase","D17793_at",6810
"6811","GB DEF = Facioscapulohumeral muscular dystrophy (FSHD) gene region; D4Z4 tandem repeat unit","D38024_at",6811
"6812","NAK1 mRNA for DNA binding protein","D49728_at",6812
"6813","C7 segment gene extracted from Human (lambda) DNA for immunoglobin light chain","D87017_cds3_at",6813
"6814","AAC2 Arylamine N-acetyltransferase; liver","D90042_at",6814
"6815","Tubulin; Beta 2","HG1980-HT2023_at",6815
"6816","Guanine Nucleotide-Binding Protein Rap2; Ras-Oncogene Related","HG1996-HT2044_at",6816
"6817","Mucin (Gb:M57417)","HG2149-HT2219_at",6817
"6818","Glutamate Decarboxylase 1","HG2160-HT2230_at",6818
"6819","Guanine Nucleotide-Binding Protein Rap2b; Ras-Oncogene Related","HG2600-HT2696_at",6819
"6820","Zinc Finger Protein Zfp-36","HG3491-HT3685_at",6820
"6821","Myosin; Heavy Polypeptide; Light Meromyosin","HG3513-HT3707_at",6821
"6822","Myosin; Heavy Polypeptide 9; Non-Muscle","HG3636-HT3846_at",6822
"6823","Olfactory Receptor Or17-24","HG4108-HT4378_at",6823
"6824","Olfactory Receptor Or17-30","HG4109-HT4379_at",6824
"6825","Olfactory Receptor Or17-210","HG4115-HT4385_at",6825
"6826","Tubulin; Beta","HG4322-HT4592_at",6826
"6827","Sodium Channel 1","HG4593-HT4998_at",6827
"6828","Fc Receptor Iib3 For Igg; Low Affinity","HG491-HT491_at",6828
"6829","Mucin 6; Gastric (Gb:L07518)","HG881-HT881_at",6829
"6830","DHFRP1 Dihydrofolate reductase pseudogene 1","J00146_at",6830
"6831","IFNA gene (interferon alpha-a) extracted from Human leukocyte interferon (leif) alpha-a gene","J00207_rna2_at",6831
"6832","IFNA gene (interferon alpha-d) extracted from Human leukocyte interferon (IFN-alpha) alpha-d gene","J00210_rna1_at",6832
"6833","IGHA1 gene extracted from Human Ig germline H-chain G-E-A region A: gamma-3 5' flank","J00220_cds5_at",6833
"6834","(clone 14VS) metallothionein-IG (MT1G) gene","J03910_rna1_at",6834
"6835","REG1A Regenerating islet-derived 1 alpha (pancreatic stone protein; pancreatic thread protein)","J05412_at",6835
"6836","HPR gene (haptoglobin-related protein) extracted from Human haptoglobin gene (alpha-2 allele)","K03431_cds1_at",6836
"6837","GB DEF = Small proline-rich protein 1 (SPRR1A) gene","L05187_at",6837
"6838","Regenerating protein I beta","L08010_at",6838
"6839","HMR Hormone receptor (growth factor-inducible nuclear protein N10)","L13740_at",6839
"6840","UTP--GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE","L14430_at",6840
"6841","Octamer binding transcription factor 1 (OTF1) mRNA","L20433_at",6841
"6842","GB DEF = Homeobox-like mRNA","L32606_at",6842
"6843","NADP-dependent malic enzyme mRNA","L34035_at",6843
"6844","Metallothionein-Ie gene (hMT-Ie)","M10942_at",6844
"6845","Metallothionein-If gene (hMT-If)","M10943_at",6845
"6846","Skeletal beta-tropomyosin","M12125_at",6846
"6847","Metallothionein I-B gene","M13485_at",6847
"6848","Beta-A3/A1 crystallin (CYRBA3/A1) mRNA; partial cds","M14306_at",6848
"6849","HLA-E MHC class I antigen HLA-E","M16714_at",6849
"6850","SPRR1B Small proline-rich protein 1B (cornifin)","M19888_at",6850
"6851","Small proline rich protein (sprII) mRNA; clone 174N","M21302_at",6851
"6852","Small proline rich protein (sprII) mRNA; clone 1292","M21539_at",6852
"6853","AR Androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)","M23263_at",6853
"6854","PULMONARY SURFACTANT-ASSOCIATED PROTEIN A PRECURSOR","M30838_at",6854
"6855","TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)","M31523_at",6855
"6856","FCGR2A Fc fragment of IgG; low affinity IIa; receptor for (CD32)","M31932_at",6856
"6857","HLA-DRB1 Major histocompatibility complex; class II; DR beta 1","M32578_at",6857
"6858","ITGB3 Integrin; beta 3 (platelet glycoprotein IIIa; antigen CD61)","M35999_at",6858
"6859","RPL7A Ribosomal protein L7a","M36072_at",6859
"6860","MYL4 Myosin; light polypeptide 4; alkali; atrial; embryonic","M37075_at",6860
"6861","CHRNA3 Alpha-3 neuronal nicotinic acetylcholine receptor subunit","M37981_at",6861
"6862","3-beta-hydroxysteroid dehydrogenase/delta-5-delta-4-isomerase (3-beta-HSD) gene","M38180_rna1_at",6862
"6863","GB DEF = Amelogenin (AMELX) gene; 3' end of cds","M55418_at",6863
"6864","GB DEF = Amelogenin (AMELY) gene; 3' end of cds","M55419_at",6864
"6865","GB DEF = Histone H3.1 (H1F3) gene","M60746_at",6865
"6866","GB DEF = Histone H2B.1 (H2B) gene","M60751_at",6866
"6867","CYP2C9 Cytochrome P450; subfamily IIC (mephenytoin 4-hydroxylase); polypeptide 9","M61855_at",6867
"6868","Pulmonary surfactant-associated protein SP-A (SFTP1) gene","M68519_rna1_at",6868
"6869","3-beta-hydroxysteroid dehydrogenase gene extracted from Human type II 3-beta hydroxysteroid dehydrogenase/ 5-delta - 4-delta isomerase gene","M77144_rna1_at",6869
"6870","Semenogelin I (SEMGI) gene","M81650_rna1_at",6870
"6871","GB DEF = BTF3 protein homologue gene","M90354_at",6871
"6872","COL16A1 Alpha-1 type XVI collagen","M92642_at",6872
"6873","GIF","M93311_at",6873
"6874","TRANSDUCIN-LIKE ENHANCER PROTEIN 1","M99435_at",6874
"6875","TRANSDUCIN-LIKE ENHANCER PROTEIN 2","M99436_at",6875
"6876","GB DEF = Transducin-like enhancer protein (TLE3) mRNA","M99438_at",6876
"6877","GB DEF = Transducin-like enhancer protein (TLE4) mRNA; 3' end","M99439_at",6877
"6878","CHDR Chlordecone reductase","S68287_at",6878
"6879","GIF=growth inhibitory factor [human; brain; Genomic; 2015 nt]","S72043_rna1_at",6879
"6880","Type IIx myosin heavy chain {3' region} [human; skeletal muscle; mRNA Partial; 827 nt]","S73840_at",6880
"6881","DAX-1","S74720_at",6881
"6882","GB DEF = Na+/Ca2+ exchanger [human; neuroblastoma x glioma hybrid NG108-15 cells; mRNA Partial; 760 nt]","S78774_at",6882
"6883","RNA-BINDING PROTEIN FUS/TLS","U00928_at",6883
"6884","Delta-globin gene extracted from Human beta globin region on chromosome 11","U01317_cds4_at",6884
"6885","LTB4H Leukotriene B4 omega hydroxylase (cytochrome P450; subfamily IVF)","U02388_at",6885
"6886","FLT3LG Fms-related tyrosine kinase 3 ligand","U03858_at",6886
"6887","DDH1 Dihydrodiol dehydrogenase","U05861_at",6887
"6888","Tyrosine kinase receptor p145TRK-B (TRK-B) mRNA","U12140_at",6888
"6889","CELLULAR NUCLEIC ACID BINDING PROTEIN","U19765_at",6889
"6890","GB DEF = Membrane protein-like protein mRNA; partial cds","U21556_at",6890
"6891","P21-activated protein kinase (Pak2) gene","U24153_at",6891
"6892","GB DEF = Anti-B cell autoantibody IgM heavy chain variable V-D-J region (VH4) gene; clone A23; VH4-55 non-productive rearrangement","U24683_at",6892
"6893","GB DEF = Anti-B cell autoantibody IgM heavy chain variable V-D-J region (VH4) gene; clone E11; VH4-63 non-productive rearrangement","U24685_at",6893
"6894","Serine kinase (hPAK65) mRNA; partial cds","U25975_at",6894
"6895","Uridine diphosphoglucose pyrophosphorylase mRNA","U27460_at",6895
"6896","ICH-2 PROTEASE PRECURSOR","U28014_at",6896
"6897","TY protease","U28015_at",6897
"6898","GB DEF = Beta-2 integrin alphaD subunit (ITGAD) gene; exons 25-30; and partial cds","U40279_at",6898
"6899","MALATE OXIDOREDUCTASE","U43944_at",6899
"6900","GB DEF = Small GTP binding protein Rab9 mRNA","U44103_at",6900
"6901","Rab9 expressed pseudogene mRNA","U44105_at",6901
"6902","GB DEF = Mitochondrial trifunctional protein beta subunit mRNA; partial cds","U49441_at",6902
"6903","CHRNA3 Cholinergic receptor; nicotinic; alpha polypeptide 3","U62432_at",6903
"6904","TRY8 gene (trypsinogen E) extracted from Human germline T-cell receptor beta chain TCRBV17S1A1T; TCRBV2S1; TCRBV10S1P; TCRBV29S1P; TCRBV19S1P; TCRBV15S1; TCRBV11S1A1T; HVB relic; TCRBV28S1P; TCRBV34S1; TCRBV14S1; TCRBV3S1; TCRBV4S1A1T; TRY4; TRY5; TRY6; TRY7; TRY8; TCRBD1; TCRBJ1S1; TCRBJ1S2; TCRBJ1S3; TCRBJ1S4; TCRBJ1S5; TCRBJ1S6; TCRBC1; TCRBD2; TCRBJ2S1; TCRBJ2S2; TCRBJ2S3; TCRBJ2S4; TCRBJ2S5; TCRBJ2S6; TCRBJ2S7; TCRBC2; TCRBV20S1A1N2 genes from bases 452324 to 684973 (section 3 of 3)","U66061_cds3_at",6904
"6905","DAZ Deleted in azoospermia","U66077_at",6905
"6906","Steroidogenic factor 1 mRNA","U76388_at",6906
"6907","Immunoglobulin-like transcript 2 mRNA","U82279_at",6907
"6908","GB DEF = Immunoglobulin-like transcript-3 mRNA","U82979_at",6908
"6909","Ubiquitin-homology domain protein PIC1 mRNA","U83117_at",6909
"6910","Death domain containing protein CRADD mRNA","U84388_at",6910
"6911","Clone 61501 defective mariner transposon Hsmar2 mRNA sequence","U92027_at",6911
"6912","GB DEF = Histone H2b gene","X00088_at",6912
"6913","GB DEF = Prepro-relaxin H2","X00948_at",6913
"6914","GB DEF = Prepro-relaxin H1","X00949_at",6914
"6915","Alpha-tubulin mRNA","X01703_at",6915
"6916","IFNA5 Interferon; alpha 5","X02956_at",6916
"6917","GB DEF = Interferon alpha gene IFN-alpha 6","X02958_at",6917
"6918","Skeletal beta-tropomyosin","X06825_at",6918
"6919","RNS2 Ribonuclease 2 (eosinophil-derived neurotoxin; EDN)","X16546_at",6919
"6920","HLA CLASS I HISTOCOMPATIBILITY ANTIGEN; F ALPHA CHAIN PRECURSOR","X17093_at",6920
"6921","Melanoma growth stimulatory activity (MGSA)","X54489_rna1_at",6921
"6922","ECRP gene for eosinophil cationic related protein","X55989_rna1_at",6922
"6923","L2-9 transcript of unrearranged immunoglobulin V(H)5 pseudogene","X58399_at",6923
"6924","CLL-12 transcript of unrearranged immunoglobulin V(H)5 gene","X58401_at",6924
"6925","GB DEF = H4/h gene for H4 histone","X60487_at",6925
"6926","ZNF37A Zinc finger protein 37a (KOX 21)","X69115_at",6926
"6927","RPS26 Ribosomal protein S26","X69654_at",6927
"6928","CORTICOTROPIN RELEASING FACTOR RECEPTOR 1 PRECURSOR","X72304_at",6928
"6929","GLUL Glutamate-ammonia ligase (glutamine synthase)","X72475_at",6929
"6930","GKP2 Glycerol kinase 2 (testis specific)","X78712_at",6930
"6931","GB DEF = Anion exchange protein","X87211_at",6931
"6932","GB DEF = RagB protein","X90530_at",6932
"6933","GB DEF = Gastrin-binding protein","X98225_at",6933
"6934","Ubiquitin hydrolase","X98296_at",6934
"6935","NGAL gene","X99133_at",6935
"6936","Rit mRNA","Y07566_at",6936
"6937","GB DEF = DFFRY protein; abundant transcript","Y13618_at",6937
"6938","Germ line pseudogene for immunoglobulin kappa light chain leader peptide and variable region (subgroup V kappa I)","Z00010_at",6938
"6939","GB DEF = Chloride channel (putative) 2139bp","Z30643_at",6939
"6940","GB DEF = Chloride channel (putative) 2163bp","Z30644_at",6940
"6941","GB DEF = DNA for histone H3a","Z46261_at",6941
"6942","Semenogelin II gene extracted from H.sapiens genes for semenogelin I and semenogelin II","Z47556_rna2_at",6942
"6943","HD21 mRNA","Z49105_at",6943
"6944","GB DEF = DNA sequence from cosmid L129H7; Huntington's Disease Region; chromosome 4p16.3 contains Pseudogene and CpG island","Z68274_at",6944
"6945","GB DEF = H2B/g gene","Z80779_at",6945
"6946","H2B/j gene","Z80781_at",6946
"6947","GB DEF = H2B/l gene","Z80783_at",6947
"6948","H4/j gene","Z80787_at",6948
"6949","GB DEF = HH2B/d gene","Z83336_at",6949
"6950","GB DEF = HH3/k gene","Z83735_at",6950
"6951","DSC3 Desmocollin 3","D17427_at",6951
"6952","DCT Dopachrome tautomerase (dopachrome delta-isomerase; tyrosine-related protein 2)","D17547_at",6952
"6953","TISSUE FACTOR PATHWAY INHIBITOR 2 PRECURSOR","D29992_at",6953
"6954","Protein-tyrosine phosphatase","D64053_at",6954
"6955","EP3-IV gene extracted from Human DNA for prostaglandin E receptor EP3 subtype","D86096_cds6_at",6955
"6956","(genomic clones lambda-[SK2-T2; HS578T]; cDNA clones RS-[3;4; 6]) c-Ha-ras1 proto-oncogene; complete coding sequence","J00277_at",6956
"6957","mRNA fragment encoding beta-tubulin. (from clone D-beta-1)","J00314_at",6957
"6958","INHBA Inhibin; beta A (activin A; activin AB alpha polypeptide)","J03634_at",6958
"6959","PCK1 Phosphoenolpyruvate carboxykinase 1 (soluble)","L05144_at",6959
"6960","H2K binding factor 2 (KBF2) mRNA","L08904_at",6960
"6961","SHMT1 Serine hydroxymethyltransferase 1 (soluble)","L11931_at",6961
"6962","GK Glycerol kinase","L13943_at",6962
"6963","4-AMINOBUTYRATE AMINOTRANSFERASE; MITOCHONDRIAL PRECURSOR","L32961_at",6963
"6964","Autotaxin mRNA","L35594_at",6964
"6965","Receptor protein-tyrosine kinase (HEK7) mRNA; 3' end","L36644_at",6965
"6966","AVPR1B Arginine vasopressin receptor 1B","L37112_at",6966
"6967","SELL Leukocyte adhesion protein beta subunit","M15395_at",6967
"6968","GSTA1 Glutathione S-transferase A2","M16594_at",6968
"6969","GB DEF = Pancreatic elastase IIB mRNA","M16653_at",6969
"6970","CYP21 Cytochrome P450; subfamily XXI (steroid 21-hydroxylase; congenital adrenal hyperplasia)","M17252_at",6970
"6971","DNA-BINDING PROTEIN A","M24069_at",6971
"6972","NPPB Natriuretic peptide precursor B","M25296_at",6972
"6973","GAP43 Growth associated protein 43","M25667_at",6973
"6974","CD19 CD19 antigen","M28170_at",6974
"6975","KERATIN; TYPE I CYTOSKELETAL 17","M28439_at",6975
"6976","VIP Vasoactive intestinal peptide","M36634_at",6976
"6977","WT1 Wilms tumor 1","M60614_at",6977
"6978","Retinoic acid receptor-beta associated open reading frame; complete sequence","M62303_at",6978
"6979","GRIA1 Glutamate receptor; ionotropic; AMPA 1","M64752_at",6979
"6980","IDUA Iduronidase; alpha-L-","M95740_at",6980
"6981","TDGF1 Teratocarcinoma-derived growth factor 1","M96956_at",6981
"6982","ARAF1 V-raf murine sarcoma 3611 viral oncogene homolog 1","U01337_at",6982
"6983","MAP2 Microtubule-associated protein 2","U01828_at",6983
"6984","Transcription factor LSF mRNA","U03494_at",6984
"6985","Homolog of Drosophila enhancer of split m9/m10 mRNA","U04241_at",6985
"6986","GARS Glycyl-tRNA synthetase","U09587_at",6986
"6987","Receptor tyrosine kinase ligand LERK-3 (EPLG3) mRNA","U14187_at",6987
"6988","TYRO3 Receptor protein-tyrosine kinase sky","U18934_at",6988
"6989","Estrogen sulfotransferase mRNA","U20499_at",6989
"6990","SAT Spermidine/spermine N1-acetyltransferase","U21689_at",6990
"6991","Protein tyrosine phosphatase sigma mRNA","U35234_at",6991
"6992","Dystrobrevin-alpha mRNA","U46744_at",6992
"6993","Transcription factor E2F like protein [human; mRNA; 2492 nt]","U47677_at",6993
"6994","CHRNA5 Cholinergic receptor; nicotinic; alpha polypeptide 5","U62434_at",6994
"6995","TNF-alpha converting enzyme mRNA","U69611_at",6995
"6996","GB DEF = H4 histone gene","X00038_at",6996
"6997","PRL Prolactin","X00540_at",6997
"6998","HARS Histidyl-tRNA synthetase","X05345_at",6998
"6999","PRKCB1 Protein kinase C; beta 1","X06318_at",6999
"7000","APOA1 Apolipoprotein A-I","X07496_at",7000
"7001","APS Prostate specific antigen","X07730_at",7001
"7002","RAB2 RAB2; member RAS oncogene family","X12953_at",7002
"7003","GABRB1 Gamma-aminobutyric acid (GABA) A receptor; beta 1","X14767_at",7003
"7004","RD Radin blood group","X16105_at",7004
"7005","JUNB Jun B proto-oncogene","X51345_at",7005
"7006","MYH7 Myosin; heavy polypeptide 7; cardiac muscle; beta","X52889_at",7006
"7007","SCYA4 Small inducible cytokine A4 (homologous to mouse Mip-1b)","X53683_at",7007
"7008","Glycerol kinase testis specific 1","X78711_at",7008
"7009","GB DEF = R kappa B mRNA","X80878_at",7009
"7010","CLTB Clathrin; light polypeptide (Lcb)","X81637_at",7010
"7011","GB DEF = G-protein coupled receptor","X95876_at",7011
"7012","GLUL Glutamate-ammonia ligase (glutamine synthase)","X96754_at",7012
"7013","ZNF183 gene","X98253_at",7013
"7014","GB DEF = Bone marrow serine protease gene (medullasin) (leukocyte neutrophil elastase gene)","Y00477_at",7014
"7015","N-Oct 3; N-Oct5a; and N-Oct 5b proteins","Z11933_at",7015
"7016","ALPHA-CENTRACTIN","Z14978_at",7016
"7017","RED-SENSITIVE OPSIN","Z68193_at",7017
"7018","GB DEF = DNA sequence from PAC 151B14 on chromosome 22q12-qter contains somatostatin receptor subtype 3 (SSTR3); tRNA; ESTs; CpG island and STS","Z86000_at",7018
"7019","GB DEF = Immunoglobulin-related 14.1 protein mRNA","M27749_at",7019
"7020","GB DEF = Immunoglobulin-related 14.1 protein mRNA","M27749_r_at",7020
"7021","CYP2A6 Cytochrome P450; subfamily IIA (phenobarbital-inducible); polypeptide 6","M33318_r_at",7021
"7022","GB DEF = Omega light chain protein 14.1 (Ig lambda chain related) gene; exon 3","M34516_at",7022
"7023","GB DEF = Omega light chain protein 14.1 (Ig lambda chain related) gene; exon 3","M34516_r_at",7023
"7024","GB DEF = Cytochrome P450 (CYP2A13) gene","U22028_at",7024
"7025","GB DEF = Cytochrome P450 (CYP2A13) gene","U22028_r_at",7025
"7026","GB DEF = Endogenous retroviral H protease/integrase-derived ORF1 mRNA; and putative envelope protein mRNA; partial cds","U88898_at",7026
"7027","GB DEF = Endogenous retroviral H protease/integrase-derived ORF1 mRNA; and putative envelope protein mRNA; partial cds","U88898_r_at",7027
"7028","Metallothionein isoform 1R","X97261_at",7028
"7029","Metallothionein isoform 1R","X97261_r_at",7029
"7030","HLA-A MHC class I protein HLA-A (HLA-A28;-B40; -Cw3)","D32129_f_at",7030
"7031","PMS8 mRNA (yeast mismatch repair gene PMS1 homologue); partial cds (C-terminal region)","D38437_f_at",7031
"7032","PMS8 mRNA (yeast mismatch repair gene PMS1 homologue); partial cds (C-terminal region)","D38498_f_at",7032
"7033","Transcription Factor Btf3b","HG1515-HT1515_f_at",7033
"7034","Beta-1-Glycoprotein 1; Pregnancy-Specific (Gb:M25384)","HG2139-HT2208_f_at",7034
"7035","Phosphoribosyl Pyrophosphate Synthetase; Subunit Iii","HG2255-HT2344_f_at",7035
"7036","Major Histocompatibility Complex; Class I; E (Gb:M20022)","HG2915-HT3059_f_at",7036
"7037","Major Histocompatibility Complex; Class I; E (Gb:M21533)","HG2917-HT3061_f_at",7037
